date,pre_build_time,build_time,deploy_time,total_time
16/11/2020,52,314,24,390
16/11/2020,57,323,28,408
16/11/2020,200,324,27,551
16/11/2020,356,302,25,683
16/11/2020,58,334,27,419
16/11/2020,65,323,25,413
16/11/2020,64,332,25,421
16/11/2020,241,313,25,579
16/11/2020,82,327,32,441
16/11/2020,58,318,42,418
16/11/2020,57,324,30,411
16/11/2020,60,334,175,569
16/11/2020,53,335,30,418
16/11/2020,193,335,32,560
16/11/2020,54,345,33,432
16/11/2020,105,338,30,473
16/11/2020,58,336,30,424
16/11/2020,93,323,34,450
16/11/2020,67,338,29,434
16/11/2020,57,341,35,433
16/11/2020,55,337,35,427
17/11/2020,63,306,25,394
17/11/2020,67,329,29,425
17/11/2020,90,311,27,428
17/11/2020,56,316,24,396
17/11/2020,53,329,24,406
17/11/2020,66,337,27,430
18/11/2020,69,298,29,396
18/11/2020,54,324,28,406
18/11/2020,54,319,43,416
18/11/2020,55,297,33,385
18/11/2020,77,315,29,421
18/11/2020,57,323,26,406
18/11/2020,52,337,32,421
18/11/2020,57,298,28,383
18/11/2020,59,345,38,442
18/11/2020,58,315,25,398
18/11/2020,62,293,31,386
18/11/2020,55,323,28,406
19/11/2020,369,307,36,712
19/11/2020,61,328,31,420
19/11/2020,65,292,35,392
19/11/2020,94,350,32,476
19/11/2020,378,288,26,692
19/11/2020,497,298,26,821
19/11/2020,56,292,29,377
19/11/2020,56,305,28,389
19/11/2020,62,309,30,401
19/11/2020,56,293,30,379
20/11/2020,74,270,30,374
20/11/2020,59,272,33,364
20/11/2020,57,313,30,400
20/11/2020,56,299,30,385
20/11/2020,322,355,36,713
20/11/2020,193,328,38,559
20/11/2020,55,279,28,362
20/11/2020,57,320,27,404
20/11/2020,53,276,31,360
20/11/2020,58,287,32,377
20/11/2020,67,299,31,397
